2025-12-30 12:20:48,638 | INFO | Market Data| Timeframe=15m | O=2973.7700 H=2975.9400 L=2971.5700 C=2973.5000 V=58.4766
2025-12-30 12:20:48,638 | INFO | Signal Generation | Bar=2025-12-29T16:00:00 | Signals=0
2025-12-30 12:20:48,638 | INFO | Market Data| Timeframe=15m | O=2973.4900 H=2974.2300 L=2894.2000 C=2966.3400 V=169.2180
2025-12-30 12:20:48,655 | INFO | Signal Generation | Bar=2025-12-29T16:15:00 | Signals=0
2025-12-30 12:20:48,655 | INFO | Market Data| Timeframe=1h | O=2966.3300 H=2967.3800 L=2958.6400 C=2959.9800 V=383.0632
2025-12-30 12:20:48,657 | INFO | Signal Generation | Bar=2025-12-29T16:30:00 | Signals=0
2025-12-30 12:20:48,657 | INFO | Market Data| Timeframe=15m | O=2966.3300 H=2966.4300 L=2958.6400 C=2965.0300 V=135.5177
2025-12-30 12:20:48,662 | INFO | Signal Generation | Bar=2025-12-29T16:30:00 | Signals=0
2025-12-30 12:20:48,662 | INFO | Market Data| Timeframe=15m | O=2965.0200 H=2967.3800 L=2962.6900 C=2964.2600 V=80.1950
2025-12-30 12:20:48,664 | INFO | Signal Generation | Bar=2025-12-29T16:45:00 | Signals=0
2025-12-30 12:20:48,664 | INFO | Market Data| Timeframe=15m | O=2964.2600 H=2964.6300 L=2960.0100 C=2964.0100 V=86.7096
2025-12-30 12:20:48,668 | INFO | Signal Generation | Bar=2025-12-29T17:00:00 | Signals=0
2025-12-30 12:20:48,668 | INFO | Market Data| Timeframe=15m | O=2963.8600 H=2964.6000 L=2959.5100 C=2959.9800 V=80.6409
2025-12-30 12:20:48,668 | INFO | Signal Generation | Bar=2025-12-29T17:15:00 | Signals=0
2025-12-30 12:20:48,674 | INFO | Market Data| Timeframe=1h | O=2959.9800 H=2959.9800 L=2911.9600 C=2930.8700 V=818.4107
2025-12-30 12:20:48,677 | INFO | Signal Generation | Bar=2025-12-29T17:30:00 | Signals=0
2025-12-30 12:20:48,677 | INFO | Market Data| Timeframe=15m | O=2959.9800 H=2959.9800 L=2913.6000 C=2918.8400 V=271.0711
2025-12-30 12:20:48,677 | INFO | Signal Generation | Bar=2025-12-29T17:30:00 | Signals=0
2025-12-30 12:20:48,681 | INFO | Market Data| Timeframe=15m | O=2918.8400 H=2953.2400 L=2911.9600 C=2927.7900 V=270.7556
2025-12-30 12:20:48,681 | INFO | Signal Generation | Bar=2025-12-29T17:45:00 | Signals=0
2025-12-30 12:20:48,681 | INFO | Market Data| Timeframe=15m | O=2927.0000 H=2937.0400 L=2927.0000 C=2928.5800 V=200.0312
2025-12-30 12:20:48,686 | INFO | Signal Generation | Bar=2025-12-29T18:00:00 | Signals=0
2025-12-30 12:20:48,686 | INFO | Market Data| Timeframe=15m | O=2929.1100 H=2931.7200 L=2927.6100 C=2930.8700 V=76.5528
2025-12-30 12:20:48,690 | INFO | Signal Generation | Bar=2025-12-29T18:15:00 | Signals=0
2025-12-30 12:20:48,692 | INFO | Market Data| Timeframe=1h | O=2930.9600 H=2938.1600 L=2922.2400 C=2927.5600 V=396.0087
2025-12-30 12:20:48,695 | INFO | Signal Generation | Bar=2025-12-29T18:30:00 | Signals=0
